title,file_zip,file_size,number_channels,preview,genre,artist
All Souls Moon,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_AllSoulsMoon_Full.zip,255 MB,16,https://previews.cambridge-mt.com/AllSoulsMoon_Full_Preview.mp3,0,28
Don't Let Go,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_DontLetGo_Full.zip,239 MB,13,https://previews.cambridge-mt.com/DontLetGo_Full_Preview.mp3,0,28
Alex The Adventurer,https://mtkdata.cambridgemusictechnology.co.uk/MTK001/JeffreyHayat_AlexTheAdventurer_Full.zip,188 MB,35,https://previews.cambridge-mt.com/AlexTheAdventurer_Full_Preview.mp3,0,29
What Is This Thing Called Love,https://mtkdata.cambridgemusictechnology.co.uk/MTK002/MR0804_JesperBuhlTrio_Full.zip,332 MB,6,https://previews.cambridge-mt.com/0804_Remix.mp3,0,30
Away,https://multitracks.cambridge-mt.com/JoannaWard_Away_Full.zip,142 MB,3,https://previews.cambridge-mt.com/Away_Full_Preview.mp3,0,31
elemann's'La Lyra Overture,https://multitracks.cambridge-mt.com/KCLBaroque_TelemannLaLyra_Full.zip,452 MB,9,https://previews.cambridge-mt.com/TelemannLaLyraOverture_Full_Preview.mp3,0,32
Makin' Whoopee,https://mtkdata.cambridgemusictechnology.co.uk/MTK010/LindyHipBigBand_MakinWhoopee_Full.zip,465 MB,20,https://previews.cambridge-mt.com/MakinWhoopee_Full_Preview.mp3,0,33
The Opener,https://mtkdata.cambridgemusictechnology.co.uk/MTK010/LindyHipBigBand_TheOpener_Full.zip,299 MB,19,https://previews.cambridge-mt.com/TheOpener_Full_Preview.mp3,0,33
Scar,https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/TheLonelyWild_Scar_Full.zip,335 MB,9,https://previews.cambridge-mt.com/Scar_Full_Preview.mp3,0,34
Back Home To Blue,https://mtkdata.cambridgemusictechnology.co.uk/MTK008/TheLongWait_BackHomeToBlue_Full.zip,397 MB,21,https://previews.cambridge-mt.com/BackHomeToBlue_Full_Preview.mp3,0,35
Dark Horses,https://mtkdata.cambridgemusictechnology.co.uk/MTK008/TheLongWait_DarkHorses_Full.zip,410 MB,18,https://previews.cambridge-mt.com/DarkHorses_Full_Preview.mp3,0,35
Drag,https://mtkdata.cambridgemusictechnology.co.uk/MTK008/TheLongWait_Drag_Full.zip,676 MB,29,https://previews.cambridge-mt.com/Drag_Full_Preview.mp3,0,35
Lookout Mountain,https://mtkdata.cambridgemusictechnology.co.uk/MTK008/TheLongWait_LookoutMountain_Full.zip,395 MB,19,https://previews.cambridge-mt.com/LookoutMountain_Full_Preview.mp3,0,35
Santa,https://mtkdata.cambridgemusictechnology.co.uk/MTK008/TheLongWait_Santa_Full.zip,218 MB,34,https://previews.cambridge-mt.com/Santa_Full_Preview.mp3,0,35
Changing Things (Dorian's Song),https://mtkdata.cambridgemusictechnology.co.uk/MTK015/LorenzoPrice_ChangingThings_Full.zip,378 MB,16,https://previews.cambridge-mt.com/ChangingThings_Full_Preview.mp3,0,36
All The Gin Is Gone,https://multitracks.cambridge-mt.com/MaurizioPagnuttiSextet_AllTheGinIsGone_Full.zip,417 MB,16,https://previews.cambridge-mt.com/AllTheGinIsGone_Full_Preview.mp3,0,37
Bess,https://multitracks.cambridge-mt.com/MaurizioPagnuttiSextet_Bess_Full.zip,660 MB,16,https://previews.cambridge-mt.com/Bess_Full_Preview.mp3,0,37
Sun Drenched,https://mtkdata.cambridgemusictechnology.co.uk/MTK003/MikeSkalandunas_SunDrenched_Full.zip,76 MB,19,https://previews.cambridge-mt.com/SunDrenched_Full_Preview.mp3,0,38
